DATE,ID,CITY_NAME,DAY_TYPE,REAL_SUM,ROOM_TYPE,ROOM_SHARED,ROOM_PRIVATE,PERSON_CAPACITY,CLEANLINESS_RATING,GUEST_SATISFACTION_OVERALL,BEDROOMS,DISTANCE,METRO_DISTANCE,ATTR_INDEX,REST_INDEX
2023-09-10,132,London,Weekday,285.0490369,Private room,FALSE,TRUE,2,9,97,1,3.221715135,1.15219284,334.8818646,637.3112662
2023-09-11,133,London,Weekday,505.1859169,Entire home/apt,FALSE,FALSE,4,9,90,3,4.487705803,1.968880031,255.9545927,526.3386622
2023-09-12,134,London,Weekday,142.5245185,Private room,FALSE,TRUE,2,10,96,1,4.323865554,0.807853017,262.9217659,560.7279537
2023-09-13,135,London,Weekday,310.9198241,Private room,FALSE,TRUE,2,9,93,1,5.328496005,1.754001896,216.5285661,468.6252137
2023-09-14,136,London,Weekday,608.9042546,Entire home/apt,FALSE,FALSE,4,10,90,2,3.589792687,0.201295828,341.8423162,798.9220665
2023-09-15,137,London,Weekday,207.4366754,Private room,FALSE,TRUE,2,10,99,1,5.116671102,1.674405568,217.136362,465.6322018
2023-09-16,138,London,Weekday,194.5012818,Private room,FALSE,TRUE,2,10,95,1,3.695674568,0.353406155,314.1895817,742.3941835
2023-09-17,139,London,Weekday,512.947153,Entire home/apt,FALSE,FALSE,4,9,95,2,3.54507943,0.676366614,321.4566035,684.3284815
2023-09-18,140,London,Weekday,206.0255415,Private room,FALSE,TRUE,2,10,97,1,3.218594462,0.467669949,344.6763987,778.3062662
2023-09-19,141,London,Weekday,213.5515887,Private room,FALSE,TRUE,2,9,96,1,3.066883577,0.500669244,360.4229611,804.3987449
2023-09-20,142,London,Weekday,215.1979115,Private room,FALSE,TRUE,3,9,89,1,3.481757678,0.225423159,353.8494754,820.6284603
2023-09-21,143,London,Weekday,145.3467861,Private room,FALSE,TRUE,2,10,100,1,5.689222979,0.923165078,191.352866,400.0591451
2023-09-22,144,London,Weekday,2173.85169,Entire home/apt,FALSE,FALSE,6,10,93,3,4.909647592,0.686639342,264.7404728,566.7725244
2023-09-23,145,London,Weekday,271.8784543,Private room,FALSE,TRUE,5,10,96,1,3.776313079,0.772869273,287.3283947,725.6507508
2023-09-24,146,Paris,Weekday,296.1599403,Private room,FALSE,TRUE,2,10,97,1,0.699820606,0.19370939,518.4789465,1218.662228
2023-09-25,147,Paris,Weekday,288.2374872,Private room,FALSE,TRUE,2,10,97,1,2.100005443,0.107220689,873.2169615,1000.543327
2023-09-26,148,Paris,Weekday,211.3430888,Private room,FALSE,TRUE,2,10,94,1,3.302325113,0.234723817,444.5560768,902.8544674
2023-09-27,149,Paris,Weekday,298.9561003,Entire home/apt,FALSE,FALSE,2,9,91,1,0.547566676,0.195996522,542.1420139,1199.184166
2023-09-28,150,Paris,Weekday,247.9261814,Entire home/apt,FALSE,FALSE,4,7,82,1,1.19792093,0.103572852,406.9289584,1070.775497
2023-09-29,151,Paris,Weekday,484.2016963,Entire home/apt,FALSE,FALSE,2,10,96,1,0.823261942,0.239301094,494.1296516,1209.148339
2023-09-30,152,Paris,Weekday,463.4635101,Entire home/apt,FALSE,FALSE,4,10,93,1,3.25098487,0.220120601,542.4191554,953.6330346
2023-10-01,153,Paris,Weekday,318.2962065,Entire home/apt,FALSE,FALSE,2,9,94,0,1.090585982,0.193038294,745.5673264,1364.22846
2023-10-02,154,Paris,Weekday,287.0724205,Private room,FALSE,TRUE,2,10,94,1,2.26127427,0.111812576,421.3472205,1123.71389
2023-10-03,155,Paris,Weekday,305.7134868,Private room,FALSE,TRUE,2,9,83,1,2.05212781,0.082256318,677.9602039,1008.834022
2023-10-04,156,Paris,Weekday,815.7796626,Entire home/apt,FALSE,FALSE,6,10,88,2,1.188609507,0.148942306,463.6341918,1138.05448
2023-10-05,157,Paris,Weekday,968.4033927,Entire home/apt,FALSE,FALSE,6,10,97,2,1.004780866,0.228284758,430.7104723,1079.216876
2023-10-06,158,Paris,Weekday,968.4033927,Entire home/apt,FALSE,FALSE,6,10,97,2,1.16089102,0.136358206,414.723015,1068.856617
2023-10-07,159,Paris,Weekday,469.05583,Entire home/apt,FALSE,FALSE,4,9,89,2,0.549136823,0.121172022,520.277777,1183.357528
2023-10-08,160,Paris,Weekday,373.986392,Entire home/apt,FALSE,FALSE,2,10,98,1,1.865745895,0.266644823,384.6843913,1042.670587
2023-10-09,161,Paris,Weekend,270.0624476,Entire home/apt,FALSE,FALSE,2,-99999,86,0,2.429151789,0.230411922,412.9034672,1074.938806
